>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP059907.1 Escherichia coli strain 181.1 chromosome, complete genome
>NC_012967.1 Escherichia coli B str. REL606, complete sequence
>NZ_CP054662.1 Escherichia coli strain IGC_RcoliRes_1.1 chromosome, complete genome
>NZ_CP079772.1 Escherichia coli strain GS04 chromosome, complete genome
>NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome
>NZ_CP047231.1 Escherichia coli strain BL21-AI chromosome, complete genome
>NZ_AP026101.1 Escherichia coli strain 93_161312 chromosome, complete genome
>NZ_CP127252.1 Escherichia coli strain C41 chromosome, complete genome
>NZ_CP086520.1 Escherichia coli strain Ec-042-T20-ESBL chromosome, complete genome
>NZ_CP050865.1 Escherichia coli strain 8-3-Ti3 chromosome, complete genome
>NZ_AP026902.1 Escherichia coli strain MY504 chromosome
>NZ_CP009644.1 Escherichia coli ER2796 strain K-12 ER2796 chromosome, complete genome
>NZ_CP062727.1 Escherichia coli O157:H7 strain Z1812 chromosome, complete genome
>NZ_CP015241.1 Escherichia coli strain 2013C-4465 chromosome, complete genome
>NZ_CP013029.1 Escherichia coli strain 2012C-4227 chromosome, complete genome
>NZ_CP077646.1 Escherichia coli strain ST866 chromosome, complete genome
>NZ_CP082080.1 Escherichia coli strain MS20655 chromosome, complete genome
>NZ_CP058355.1 Escherichia coli strain AMSCJX03 chromosome, complete genome
>NZ_CP057357.1 Escherichia fergusonii strain RHB28-C21 chromosome, complete genome
>NZ_CP035855.1 Escherichia coli TW11681 chromosome, complete genome
>NZ_CP019778.1 Escherichia coli strain NCTC86 chromosome, complete genome
>NZ_CP026641.1 Escherichia coli strain FORC_082 chromosome, complete genome
>NZ_CP124475.1 Escherichia coli strain AVS0969 chromosome, complete genome
>NZ_CP024263.1 Escherichia coli O169:H41 strain F6326-C1 chromosome, complete genome
>NZ_CP060924.1 Escherichia coli strain EC14 chromosome, complete genome
>NZ_AP024123.1 Escherichia coli strain KS-NP019 chromosome, complete genome
>NZ_CP085183.1 Escherichia coli strain EC7518 chromosome, complete genome
>NZ_CP083886.1 Escherichia coli strain NDM2 chromosome, complete genome
>NZ_CP032793.1 Escherichia coli strain NZRM3614 chromosome, complete genome
>NZ_CP135233.1 Escherichia coli strain Escherichia coli EC16611 chromosome, complete genome
>NZ_CP116035.1 Escherichia coli strain FAH chromosome, complete genome
>NZ_CP080246.1 Escherichia coli strain SYNB1934 chromosome, complete genome
>NZ_CP028112.1 Escherichia coli O103 str. RM8385 chromosome, complete genome
>NZ_CP028698.1 Escherichia coli strain 106 chromosome, complete genome
>NZ_CP060950.1 Escherichia coli strain EC9 chromosome, complete genome
>NZ_CP099877.1 Escherichia albertii strain 247_2_EW_B chromosome, complete genome
>NZ_CP038344.1 Escherichia coli O157:H7 strain Gim1-1 chromosome, complete genome
>NZ_CP035841.1 Escherichia coli strain TW10722 chromosome, complete genome
>NZ_CP034389.1 Escherichia coli strain RS571 chromosome, complete genome
>NZ_CP076706.1 Escherichia coli O170:H18 strain CFIAFB20120266 chromosome, complete genome
>NZ_CP104848.1 Escherichia coli strain DFK.1 chromosome, complete genome
>NZ_CP060899.1 Escherichia coli strain EC21 chromosome, complete genome
>NZ_CP017220.1 Escherichia coli strain FAM21845 chromosome, complete genome
>NZ_CP019020.1 Escherichia coli strain Ecol_244 chromosome, complete genome
>NZ_OW968277.1 Escherichia coli isolate 131 chromosome main, complete sequence
>NZ_CP122496.1 Escherichia coli strain a7 chromosome, complete genome
>NZ_CP068817.1 Escherichia coli strain RIVM_C028786 chromosome, complete genome
>NZ_CP026352.1 Escherichia coli strain 4FA chromosome, complete genome
>NZ_CP009166.1 Escherichia coli 1303 chromosome, complete genome
>NZ_LT594504.1 Escherichia coli isolate E. coli RL465 chromosome 1
>NZ_CP068806.1 Escherichia coli strain RIVM_C018576 chromosome, complete genome
>NZ_CP041442.1 Escherichia coli strain YPE12 chromosome, complete genome
>NZ_CP116976.1 Escherichia coli strain CUVM53 chromosome, complete genome
>NZ_CP124498.1 Escherichia coli strain AVS0655 chromosome, complete genome
>NZ_CP104503.1 Escherichia coli strain E1 chromosome, complete genome
>NZ_CP020933.1 Escherichia coli strain HB-Coli0 chromosome, complete genome
>NZ_CP038389.1 Escherichia coli O55:H7 strain DEC5B chromosome, complete genome
>NZ_CP041955.1 Escherichia coli strain EC2 chromosome, complete genome
>NZ_CP018840.1 Escherichia coli strain KSC64 chromosome, complete genome
>NZ_CP007393.1 Escherichia coli strain ST2747 chromosome, complete genome
>NZ_CP054282.1 Escherichia coli strain IDR1900005638-01-02 chromosome, complete genome
>NZ_OY757949.1 Escherichia coli isolate F1053 chromosome 1, complete sequence
>NZ_CP038319.1 Escherichia coli O157:H7 strain NE122 chromosome, complete genome
>NZ_CP026399.1 Escherichia coli strain ECONIH4 chromosome, complete genome
>NZ_CP047057.1 Escherichia coli NC101 chromosome, complete genome
>NZ_LR883050.1 Escherichia coli isolate L1_E925 chromosome 1, complete sequence
>NZ_CP081782.1 Escherichia coli strain 0H26 chromosome, complete genome
>NZ_CP084209.1 Escherichia coli strain EC2648-R2 chromosome, complete genome
>NZ_CP098203.1 Escherichia coli strain Z0117EC0055 chromosome, complete genome
>NZ_CP031919.1 Escherichia coli O145:NM strain FWSEC0002 chromosome, complete genome
>NZ_CP040309.1 Escherichia coli strain 21B8 chromosome, complete genome
>NZ_CP053662.1 Escherichia coli strain eco-241 chromosome, complete genome
>NZ_CP065970.1 Escherichia coli strain FDAARGOS_1058 chromosome, complete genome
>NZ_LR134031.1 Escherichia coli strain NCTC11151 chromosome 1, complete sequence
>NZ_CP017446.1 Escherichia coli O157:H7 strain 9234 chromosome, complete genome
>NZ_CP020516.1 Escherichia coli strain 222 chromosome, complete genome
>NZ_CP069624.1 Escherichia coli strain PBP8 chromosome, complete genome
>NZ_CP014270.1 Escherichia coli K-12 strain K-12 DHB4 chromosome, complete genome
>NZ_AP019803.1 Escherichia coli strain KY 1497 chromosome, complete genome
>NZ_CP019392.1 Escherichia coli strain XH992 chromosome, complete genome
>NZ_CP034953.2 Escherichia coli strain MT102 chromosome, complete genome
>NZ_CP013190.1 Escherichia coli strain FORC_031 chromosome, complete genome
>NZ_AP027185.1 Escherichia coli strain NIID080884 chromosome, complete genome
>NZ_CP135215.1 Escherichia coli strain Escherichia coli EC12401 chromosome, complete genome
>NZ_CP139360.1 Escherichia coli strain EC147566 chromosome, complete genome
>NZ_CP115365.1 Escherichia coli strain CUVET19-1426 chromosome, complete genome
>NZ_CP068829.1 Escherichia coli strain RIVM_C030453 chromosome, complete genome
>NZ_CP010180.1 Escherichia coli strain M1 chromosome, complete genome
>NZ_CP103745.1 Escherichia coli strain 3090 chromosome, complete genome
>NZ_CP070124.1 Escherichia coli strain FDAARGOS_1292 chromosome, complete genome
>NZ_CP025627.1 Escherichia coli strain SCEC020007 chromosome, complete genome
>NZ_CP042352.1 Escherichia coli strain RM9513 chromosome, complete genome
>NZ_CP062733.1 Escherichia coli O157:H7 strain Z1767 chromosome, complete genome
>NZ_AP027424.1 Escherichia coli strain B27 isolate B27 chromosome, complete genome
>NZ_CP068394.1 Escherichia coli strain M-17 chromosome, complete genome
>NZ_CP021179.1 Escherichia coli strain 81009 chromosome, complete genome
>NZ_CP073926.1 Escherichia coli strain MB98 chromosome, complete genome
>NZ_CP028763.1 Escherichia coli strain A11 chromosome, complete genome
>NZ_CP030240.1 Escherichia coli strain ER1709 chromosome, complete genome
>NZ_CP009106.2 Escherichia coli strain 94-3024 chromosome, complete genome
>NZ_CP063503.1 Escherichia coli strain EH09-18-41 chromosome, complete genome
>NZ_CP070071.1 Escherichia coli strain FDAARGOS_1287 chromosome, complete genome
>NZ_CP121151.1 Escherichia coli strain E47 chromosome, complete genome
>NZ_CP060748.1 Escherichia coli strain EC96 chromosome, complete genome
>NZ_CP064678.1 Escherichia coli K-12 strain CETR3G40 chromosome, complete genome
>NZ_CP038282.1 Escherichia coli O157:H7 strain F8492 chromosome, complete genome
>NZ_CP097198.1 Escherichia coli strain 2-1 chromosome, complete genome
>NZ_CP047469.1 Escherichia coli strain DY612 chromosome, complete genome
>NZ_CP101240.1 Escherichia coli strain EC21Z-101 chromosome, complete genome
>NZ_CP117620.1 Escherichia albertii strain BIA_24 chromosome, complete genome
>NZ_CP103468.1 Escherichia coli strain 4973 chromosome, complete genome
>NZ_CP128947.1 Escherichia coli strain TUM2826 chromosome, complete genome
>NZ_CP042843.1 Escherichia coli strain JME67 chromosome, complete genome
>NZ_CP069712.1 Escherichia coli strain EA13 chromosome, complete genome
>NZ_CP045712.1 Escherichia coli strain FHI_NMBU_11 chromosome, complete genome
>NZ_CP038321.1 Escherichia coli O157:H7 strain NE1127 chromosome, complete genome
>NZ_CP046396.1 Escherichia coli strain ampC_0069 chromosome, complete genome
>NZ_AP021890.1 Escherichia coli strain 2017.15.01CC chromosome, complete genome
>NZ_OX637964.1 Escherichia coli O25b:H4-ST131 isolate 46 chromosome C, complete sequence
>NZ_CP016828.1 Escherichia coli strain FORC_043 chromosome, complete genome
>NZ_CP015138.1 Escherichia coli strain Ecol_732 chromosome, complete genome
>NZ_CP073924.1 Escherichia coli strain MB165 chromosome, complete genome
>NZ_CP117043.1 Escherichia coli strain B-RalR chromosome, complete genome
>NZ_CP103596.1 Escherichia coli strain 4848 chromosome, complete genome
>NZ_CP062868.1 Escherichia coli strain Res13-Lact-PEB01-20 chromosome, complete genome
>NZ_CP043227.1 Escherichia coli strain Ec-050 chromosome, complete genome
>NZ_CP060969.1 Escherichia coli strain EC5 chromosome, complete genome
>NZ_CP084899.1 Escherichia coli strain W3110-P chromosome, complete genome
>NZ_CP062780.1 Escherichia coli O157:H7 strain Z1769 chromosome, complete genome
>NZ_CP028589.2 Escherichia coli strain WCHEC4533 chromosome, complete genome
>NZ_CP023353.1 Escherichia coli strain 746 chromosome, complete genome
>NZ_CP115358.1 Escherichia coli strain CUVET19-1704 chromosome, complete genome
>NZ_CP026028.1 Escherichia coli strain CIT chromosome, complete genome
>NZ_CP142949.1 Escherichia coli strain EC190329 chromosome, complete genome
>NZ_CP076237.1 Escherichia coli O157:H7 strain 146N4 chromosome, complete genome
>NZ_CP107172.1 Escherichia coli strain R8 chromosome, complete genome
>NZ_CP123593.1 Escherichia coli strain DJH_183sputum chromosome, complete genome
>NZ_CP080620.1 Escherichia coli strain TOP10 chromosome, complete genome
>NZ_CP015843.2 Escherichia coli O157:H7 strain FRIK2455 chromosome, complete genome
>NZ_CP109953.1 Escherichia coli strain NC22 chromosome, complete genome
>NZ_CP051659.1 Escherichia coli strain 1162C chromosome, complete genome
>NZ_CP076305.1 Escherichia coli strain Survcare253 chromosome, complete genome
>NZ_CP027454.1 Escherichia coli strain 2014C-4423 chromosome, complete genome
>NZ_CP075722.1 Escherichia coli strain CPE35 chromosome, complete genome
>NZ_AP022811.1 Escherichia coli strain JE86-ST02 chromosome, complete genome
>NZ_CP061101.1 Escherichia coli strain 1EC213 chromosome, complete genome
>NZ_CP066366.1 Escherichia coli strain AR Bank #0346 chromosome, complete genome
>NZ_CP067342.1 Escherichia coli strain ECJXMCRH7 chromosome, complete genome
>NZ_CP100544.1 Escherichia coli strain LH09-a chromosome, complete genome
>NZ_AP023235.1 Escherichia coli strain YJ6 chromosome, complete genome
>NZ_CP092647.1 Escherichia coli strain EC5502 chromosome, complete genome
>NZ_CP009685.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, complete genome
>NZ_CP073958.1 Escherichia coli strain MB46 chromosome, complete genome
>NZ_CP122681.1 Escherichia coli strain ETEC4068 chromosome, complete genome
>NZ_LR134075.1 Escherichia coli strain NCTC9084 chromosome 1, complete sequence
>NZ_CP082775.1 Escherichia coli O25:H4 strain CU568-3 chromosome, complete genome
>NZ_CP026345.1 Escherichia coli strain 8A chromosome, complete genome
>NZ_CP028766.1 Escherichia coli strain A8 chromosome, complete genome
>NZ_CP043486.1 Escherichia coli strain SL112 chromosome, complete genome
>NZ_CP027317.1 Escherichia coli strain 2015C-3107 chromosome, complete genome
>NZ_CP117643.1 Escherichia albertii strain BIA_17 chromosome, complete genome
>NZ_CP117010.1 Escherichia coli strain MLI110 chromosome, complete genome
>NZ_CP062758.1 Escherichia coli O157:H7 strain Z892 chromosome, complete genome
>NZ_CP091018.1 Escherichia coli strain STEC307 chromosome, complete genome
>NZ_CP032795.1 Escherichia coli strain ERL06-2503 chromosome, complete genome
>NC_017635.1 Escherichia coli W, complete sequence
>NZ_CP079992.1 Escherichia coli strain KMS2001 chromosome, complete genome
>NZ_CP080223.1 Escherichia coli O141:H4 strain P13-6 chromosome, complete genome
>NZ_CP109921.1 Escherichia coli O2:K2:H1 strain C 237-04 chromosome, complete genome
>NZ_LR134000.1 Escherichia coli strain NCTC9066 chromosome 1, complete sequence
>NZ_CP027591.1 Escherichia coli strain 2014C-3011 chromosome, complete genome
>NZ_CP056968.1 Escherichia fergusonii strain RHB41-C15 chromosome, complete genome
>NZ_CP054940.1 Escherichia coli strain MS6192 chromosome, complete genome
>NZ_CP062883.1 Escherichia coli strain Res13-Lact-PEA06-10 chromosome, complete genome
>NZ_CP117013.1 Escherichia coli strain MLI114 chromosome, complete genome
>NZ_CP035884.1 Escherichia coli strain LSN03-016011/A chromosome, complete genome
>NZ_CP069657.1 Escherichia coli O89m:H10 strain MIN12 chromosome, complete genome
>NZ_CP034589.1 Escherichia coli strain L37 chromosome, complete genome
>NZ_CP120557.1 Escherichia coli strain B771 chromosome, complete genome
>NZ_CP060867.1 Escherichia coli strain EC29 chromosome, complete genome
>NZ_CP076123.1 Escherichia coli strain F11 chromosome, complete genome
>NZ_CP040316.1 Escherichia coli strain CV261 chromosome, complete genome
>NZ_CP122673.1 Escherichia coli strain ETEC4071 chromosome, complete genome
>NZ_CP142939.1 Escherichia coli strain B20127 chromosome, complete genome
>NZ_CP091839.1 Escherichia coli strain SWYHX138.261ft chromosome, complete genome
>NZ_CP024155.1 Escherichia coli strain 14EC047 chromosome, complete genome
>NZ_CP027103.1 Escherichia coli strain RM14723 chromosome, complete genome
>NZ_CP141765.1 Escherichia coli strain HYM1 chromosome, complete genome
>NZ_CP038372.1 Escherichia coli O157:H7 strain F6294 chromosome, complete genome
>NZ_CP062865.1 Escherichia coli O39:H21 strain Res13-Lact-PEB08-01 chromosome, complete genome
>NZ_CP051733.1 Escherichia coli strain SCU-109 chromosome, complete genome
>NZ_CP102378.1 Escherichia coli strain JB41 chromosome, complete genome
>NZ_CP075469.1 Escherichia coli strain NT1W22 chromosome, complete genome
>NZ_CP084026.1 Escherichia coli strain 035053C1pKPC2_Vir_090515B1 chromosome, complete genome
>NZ_CP119577.1 Escherichia coli strain C012_chr chromosome, complete genome
>NZ_CP110015.1 Escherichia coli strain HE_150 chromosome, complete genome
>NZ_CP032515.1 Escherichia coli strain 118UI chromosome, complete genome
>NZ_LS992166.1 Escherichia coli isolate Escherichia coli str. TO6 chromosome 1, complete sequence
>NZ_CP062244.1 Escherichia coli strain AML003_ev02 chromosome, complete genome
>NZ_CP025913.1 Escherichia coli strain 203740 chromosome, complete genome
>NZ_CP095505.1 Escherichia coli strain GN02050 chromosome, complete genome
>NZ_CP139661.1 Escherichia coli strain TP10-2 chromosome, complete genome
>NZ_CP020543.1 Escherichia coli C chromosome, complete genome
>NZ_AP021896.1 Escherichia coli strain 2018-02-2CC chromosome, complete genome
>NZ_CP053296.1 Escherichia coli strain M1/5 chromosome, complete genome
>NZ_CP027362.1 Escherichia coli strain 95-3192 chromosome, complete genome
>NZ_CP097426.1 Escherichia coli strain C289 chromosome, complete genome
>NZ_AP018808.1 Escherichia coli strain E2865 chromosome, complete genome
>NZ_CP013662.1 Escherichia coli strain 08-00022 chromosome, complete genome
>NZ_CP134370.1 Escherichia coli strain TUM12357 chromosome, complete genome
>NZ_CP119734.1 Escherichia coli strain E92 chromosome, complete genome
>NZ_CP019273.1 Escherichia coli strain 13P477T chromosome, complete genome
>NZ_AP022326.1 Escherichia coli O25:H4 strain 18044 chromosome, complete genome
>NZ_CP101292.1 Escherichia coli strain 2003-3014 chromosome, complete genome
>NZ_CP064103.1 Escherichia coli strain IR53017 chromosome, complete genome
>NZ_CP062761.1 Escherichia coli O157:H7 strain Z887 chromosome, complete genome
>NZ_CP097213.1 Escherichia coli strain BE311 chromosome, complete genome
>NZ_CP023541.1 Escherichia coli O104:H21 str. CFSAN002236 strain ATCC BAA-178 chromosome, complete genome
>NZ_CP134715.1 Escherichia coli strain RIVM_C040753 chromosome, complete genome
>NZ_CP028738.1 Escherichia coli strain A38 chromosome, complete genome
>NZ_CP028432.1 Escherichia coli strain RM9975 chromosome, complete genome
>NZ_CP054219.1 Escherichia coli strain EcPF18 chromosome, complete genome
>NZ_CP124502.1 Escherichia coli strain AVS0970 chromosome, complete genome
>NZ_CP133130.1 Escherichia coli O157:H7 strain PNUSAE146744 chromosome, complete genome
>NC_007946.1 Escherichia coli UTI89, complete sequence
>NZ_CP104613.1 Escherichia coli strain AHM8C212RI chromosome, complete genome
>NZ_CP010213.1 Escherichia coli strain M15 chromosome, complete genome
>NZ_CP010125.1 Escherichia coli strain C8 chromosome, complete genome
>NZ_CP103529.1 Escherichia coli strain 5270 chromosome, complete genome
>NZ_CP026612.1 Escherichia coli strain DTU-1 chromosome, complete genome
>NZ_CP117962.1 Escherichia coli strain JM109 chromosome, complete genome
>NZ_CP060880.1 Escherichia coli strain EC26 chromosome, complete genome
>NZ_CP103718.1 Escherichia coli strain 1579 chromosome, complete genome
>NZ_CP082045.1 Escherichia coli strain MS21324 chromosome, complete genome
>NZ_CP035870.1 Escherichia coli strain E2528-C1 chromosome, complete genome
>NZ_CP027312.1 Escherichia coli strain 2013C-3181 chromosome, complete genome
>NZ_CP066144.1 Escherichia coli strain ZLWT chromosome, complete genome
>NZ_CP095533.1 Escherichia coli strain GN02461 chromosome, complete genome
>NZ_CP047405.1 Escherichia coli strain MS6193 chromosome, complete genome
>NZ_CP066748.1 Escherichia coli O157:H7 strain ECP19-2498 chromosome, complete genome
>NZ_CP050998.1 Escherichia coli O39:NM str. F8704-2 chromosome, complete genome
>NZ_CP044312.1 Escherichia coli strain RM13745 chromosome, complete genome
>NZ_CP068827.1 Escherichia coli strain RIVM_C030371 chromosome, complete genome
>NZ_CP116194.1 Escherichia coli strain DETEC-E1005 chromosome, complete genome
>NZ_CP139339.1 Escherichia coli strain YZ22MPE6 chromosome, complete genome
>NZ_CP107174.1 Escherichia coli strain R7 chromosome, complete genome
>NZ_CP017669.1 Escherichia coli O157:H7 strain PA20 chromosome, complete genome
>NZ_CP018801.1 Escherichia coli strain tolC- chromosome, complete genome
>NZ_CP023366.1 Escherichia coli strain 1428 chromosome, complete genome
>NZ_CP124492.1 Escherichia coli strain AVS0225 chromosome, complete genome
>NZ_CP101915.1 Escherichia coli strain Evo1 chromosome, complete genome
>NZ_CP097370.1 Escherichia coli strain AGR5151 chromosome, complete genome
>NZ_CP117580.1 Escherichia albertii strain BIA_47 chromosome, complete genome
>NZ_CP019213.3 Escherichia coli strain WCHEC050613 chromosome, complete genome
>NZ_CP101922.1 Escherichia coli strain JCC-EE 7 chromosome, complete genome
>NZ_CP053281.1 Escherichia coli strain SCU-308 chromosome, complete genome
>NZ_CP025979.1 Escherichia marmotae strain HT073016 chromosome, complete genome
>NZ_CP027380.1 Escherichia coli strain 2013C-3250 chromosome, complete genome
>NZ_CP027582.1 Escherichia coli strain 2013C-4538 chromosome, complete genome
>NZ_CP048344.1 Escherichia coli strain 124 chromosome, complete genome
>NZ_CP104523.1 Escherichia coli strain E7 chromosome, complete genome
>NZ_CP048010.1 Escherichia coli strain RUT3575 chromosome, complete genome
>NZ_CP047455.1 Escherichia coli strain ZF31 chromosome, complete genome
>NZ_CP065136.1 Escherichia coli strain EE72d chromosome, complete genome
>NZ_CP093068.1 Escherichia coli strain BR1220 chromosome, complete genome
>NZ_CP024830.1 Escherichia coli strain CREC-532 chromosome, complete genome
>NC_022648.1 Escherichia coli JJ1886, complete sequence
>NZ_CP104536.1 Escherichia coli strain E3 chromosome, complete genome
>NZ_CP024650.2 Escherichia coli strain BH100 substr. MG2014 chromosome, complete genome
>NZ_CP042246.1 Escherichia coli strain PU-1 chromosome, complete genome
>NZ_CP069945.1 Escherichia coli strain FDAARGOS_1373 chromosome, complete genome
>NZ_CP025865.1 Escherichia coli strain 504211 chromosome, complete genome
>NZ_CP041996.1 Escherichia coli strain AR Bank #0349 chromosome, complete genome
>NZ_CP135685.1 Escherichia coli strain TUM2830 chromosome, complete genome
>NZ_CP046416.1 Escherichia coli strain LZYWN_4 chromosome, complete genome
>NZ_CP062782.1 Escherichia coli O157:H7 strain Z869 chromosome, complete genome
>NZ_CP116923.1 Escherichia coli strain MLI104K1 chromosome, complete genome
>NZ_CP068800.1 Escherichia coli strain RIVM_C017997 chromosome, complete genome
>NZ_AKVX01000001.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, whole genome shotgun sequence
>NZ_CP137737.1 Escherichia coli strain HNSQ2209 chromosome, complete genome
>NZ_CP042350.1 Escherichia coli strain RM10410 chromosome, complete genome
>NZ_CP068796.1 Escherichia coli strain RIVM_C012087 chromosome, complete genome
>NZ_CP014348.1 Escherichia coli str. K-12 substr. MG1655 strain JW5437-1 chromosome, complete genome
>NZ_CP027440.1 Escherichia coli strain 2012C-4502 chromosome, complete genome
>NZ_CP025916.1 Escherichia coli strain 120899 chromosome, complete genome
>NZ_CP124481.1 Escherichia coli strain AVS0756 chromosome, complete genome
>NZ_CP026026.1 Escherichia coli strain CAR chromosome, complete genome
>NZ_CP026342.1 Escherichia coli strain 9FA chromosome, complete genome
>NZ_CP015159.1 Escherichia coli strain Eco889 chromosome, complete genome
>NZ_CP086624.1 Escherichia coli strain RIVM_C037791 chromosome, complete genome
>NZ_CP058057.1 Escherichia fergusonii strain RHB02-C22 chromosome, complete genome
>NZ_CP062853.1 Escherichia coli O9:H10 strain Res13-Lact-PEB20-37-A chromosome, complete genome
>NZ_CP076709.1 Escherichia coli O158:H23 strain CFIAFB20140388 chromosome, complete genome
>NZ_CP135709.1 Escherichia coli strain TUM1857 chromosome, complete genome
>NZ_CP094339.1 Escherichia coli strain W224N chromosome, complete genome
>NZ_OX460336.1 Escherichia coli strain EC0026B isolate EC0026B_R1 chromosome 1, complete sequence
>NZ_OY754377.1 Escherichia coli isolate F1140 chromosome 1, complete sequence
>NZ_CP031546.1 Escherichia coli strain cq9 chromosome, complete genome
>NZ_CP042903.1 Escherichia coli strain CFSAN061761 chromosome, complete genome
>NZ_CP126948.1 Escherichia coli O78:H4 strain APEC E14033 chromosome, complete genome
>NZ_CP126912.1 Escherichia albertii strain 2011C-4180 chromosome, complete genome
>NZ_CP040667.1 Escherichia coli strain S17-1 chromosome, complete genome
>NZ_CP028656.1 Escherichia coli strain 121 chromosome, complete genome
>NZ_CP076243.1 Escherichia coli O157:H7 strain Balcarce_14.2 chromosome, complete genome
>NZ_CP062871.1 Escherichia coli strain Res13-Lact-PEA14-20 chromosome, complete genome
>NZ_CP028609.1 Escherichia coli strain 142 chromosome, complete genome
>NZ_CP032679.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, complete genome
>NZ_CP057266.1 Escherichia fergusonii strain RHB31-C13 chromosome, complete genome
>NZ_CP071073.1 Escherichia coli strain 3347558 chromosome, complete genome
>NC_017651.1 Escherichia coli str. 'clone D i2', complete sequence
>NZ_CP086470.1 Escherichia coli strain Ec-050-T20-ESBL chromosome, complete genome
>NZ_CP014667.1 Escherichia coli strain ECONIH2 chromosome, complete genome
>NZ_CP059929.1 Escherichia coli strain 162.2 chromosome, complete genome
>NZ_CP010441.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
>NZ_CP031355.1 Escherichia coli O145 strain RM8995-C1 chromosome, complete genome
>NZ_CP049118.1 Escherichia coli strain EC931 chromosome, complete genome
>NZ_CP133126.1 Escherichia coli O157:H7 strain PNUSAE146131 chromosome, complete genome
>NZ_CP126345.1 Escherichia coli strain DX6 chromosome, complete genome
>NZ_CP122629.1 Escherichia coli strain ETEC4088 chromosome, complete genome
>NZ_CP080146.1 Escherichia coli strain PK8276 chromosome, complete genome
>NZ_CP124424.1 Escherichia coli strain AVS0247 chromosome, complete genome
>NZ_CP010443.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
>NZ_CP124353.1 Escherichia coli strain AVS0226 chromosome, complete genome
>NZ_CP032808.1 Escherichia coli strain ERL04-3476 chromosome, complete genome
>NZ_CP085060.1 Escherichia coli strain P30_L1_05.20 chromosome, complete genome
>NZ_CP139953.1 Escherichia coli strain Nord1 chromosome, complete genome
>NC_022370.1 Escherichia coli PMV-1, complete sequence
>NZ_CP116067.1 Escherichia coli strain DETEC-S792 chromosome, complete genome
>NZ_CP058574.1 Escherichia coli strain EC1 chromosome, complete genome
>NZ_CP107164.1 Escherichia coli strain R9 chromosome, complete genome
>NZ_CP139803.1 Escherichia coli strain HN257 chromosome, complete genome
>NC_017664.1 Escherichia coli W, complete sequence
>NZ_CP117637.1 Escherichia albertii strain BIA_18 chromosome, complete genome
>NZ_CP040664.1 Escherichia coli strain KR2009 chromosome, complete genome
>NC_013941.1 Escherichia coli O55:H7 str. CB9615, complete sequence
>NZ_CP069488.1 Escherichia coli strain FDAARGOS_1264 chromosome, complete genome
>NZ_CP070284.2 Escherichia albertii strain Sample 169 chromosome, complete genome
>NZ_CP057210.1 Escherichia fergusonii strain RHB33-C07 chromosome, complete genome
>NZ_CP106924.1 Escherichia coli strain MFDS1016424 chromosome, complete genome
>NZ_CP025869.1 Escherichia coli strain 503829 chromosome, complete genome
>NZ_CP104328.1 Escherichia coli strain THB42-F2 chromosome, complete genome
>NC_009801.1 Escherichia coli O139:H28 str. E24377A, complete sequence
>NZ_CP028629.1 Escherichia coli strain 136 chromosome, complete genome
>NZ_CP114895.1 Escherichia coli strain CM56 chromosome, complete genome
>NZ_CP048439.1 Escherichia coli strain NBRC 3301 chromosome, complete genome
>NZ_CP137705.1 Escherichia coli isolate FELIX_MS724 chromosome, complete genome
>NZ_CP011331.1 Escherichia coli O104:H4 str. C227-11 isolate 368 shch chromosome, complete genome
>NZ_CP051706.1 Escherichia coli strain SCU-124 chromosome, complete genome
>NZ_CP068822.1 Escherichia coli strain RIVM_C029324 chromosome, complete genome
>NZ_CP014497.1 Escherichia coli strain ZH193 chromosome, complete genome
>NZ_CP019944.1 Escherichia coli strain DSM 103246 chromosome, complete genome
>NZ_CP028592.1 Escherichia coli strain 150 chromosome, complete genome
>NZ_CP075852.1 Escherichia coli strain S19-651 chromosome, complete genome
>NZ_CP116176.1 Escherichia coli strain DETEC-E601 chromosome, complete genome
>NZ_CP103704.1 Escherichia coli strain ST361 chromosome, complete genome
>NZ_CP024257.1 Escherichia coli O25:H16 strain F5505-C1 chromosome, complete genome
>NZ_CP026202.1 Escherichia coli strain ECONIH5 chromosome, complete genome
>NZ_CP114891.1 Escherichia coli strain CM2 chromosome, complete genome
>NZ_CP067399.1 Escherichia coli strain XJW9B263 chromosome, complete genome
>NZ_CP098211.1 Escherichia coli strain Z0117EC0040 chromosome, complete genome
>NZ_CP107155.1 Escherichia coli strain R11 chromosome, complete genome
>NZ_CP099721.1 Escherichia coli strain EC21GDE043 chromosome, complete genome
>NZ_CP031913.1 Escherichia coli O157:H7 strain FWSEC0004 chromosome, complete genome
>NZ_CP074042.1 Escherichia coli strain PI6 chromosome, complete genome
>NZ_LR740758.1 Escherichia coli strain BEN5202 isolate laying hen 51 weeks old chromosome APEC5202
>NZ_CP086490.1 Escherichia coli strain Ec-050-T5-ESBL chromosome, complete genome
